Date,Date,VMT_in_Millions,Year,Month
2021-03-31,2021-03-31,262957.0,2021,3
2021-02-28,2021-02-28,205320.0,2021,2
2021-01-31,2021-01-31,223197.0,2021,1
2020-12-31,2020-12-31,244182.0,2020,12
2020-11-30,2020-11-30,233606.0,2020,11
2020-10-31,2020-10-31,259076.0,2020,10
2020-09-30,2020-09-30,247208.0,2020,9
2020-08-31,2020-08-31,252774.0,2020,8
2020-07-31,2020-07-31,260098.0,2020,7
2020-06-30,2020-06-30,247332.0,2020,6
2020-05-31,2020-05-31,212784.0,2020,5
2020-04-30,2020-04-30,165952.0,2020,4
2020-03-31,2020-03-31,220982.0,2020,3
2020-02-29,2020-02-29,233688.0,2020,2
2020-01-31,2020-01-31,251679.0,2020,1
2019-12-31,2019-12-31,272189.0,2019,12
2019-11-30,2019-11-30,261644.0,2019,11
2019-10-31,2019-10-31,282914.0,2019,10
2019-09-30,2019-09-30,269038.0,2019,9
2019-08-31,2019-08-31,286532.0,2019,8
2019-07-31,2019-07-31,292910.0,2019,7
2019-06-30,2019-06-30,284145.0,2019,6
2019-05-31,2019-05-31,285544.0,2019,5
2019-04-30,2019-04-30,276976.0,2019,4
2019-03-31,2019-03-31,272537.0,2019,3
2019-02-28,2019-02-28,229346.0,2019,2
2019-01-31,2019-01-31,246517.0,2019,1
2018-12-31,2018-12-31,270370.0,2018,12
2018-11-30,2018-11-30,260473.0,2018,11
2018-10-31,2018-10-31,281382.0,2018,10
2018-09-30,2018-09-30,267434.0,2018,9
2018-08-31,2018-08-31,284989.0,2018,8
2018-07-31,2018-07-31,290989.0,2018,7
2018-06-30,2018-06-30,282648.0,2018,6
2018-05-31,2018-05-31,283713.0,2018,5
2018-04-30,2018-04-30,275127.0,2018,4
2018-03-31,2018-03-31,270705.0,2018,3
2018-02-28,2018-02-28,227759.0,2018,2
2018-01-31,2018-01-31,244736.0,2018,1
2017-12-31,2017-12-31,267958.0,2017,12
2017-11-30,2017-11-30,258159.0,2017,11
2017-10-31,2017-10-31,278888.0,2017,10
2017-09-30,2017-09-30,265212.0,2017,9
2017-08-31,2017-08-31,282558.0,2017,8
2017-07-31,2017-07-31,288566.0,2017,7
2017-06-30,2017-06-30,280290.0,2017,6
2017-05-31,2017-05-31,281264.0,2017,5
2017-04-30,2017-04-30,272864.0,2017,4
2017-03-31,2017-03-31,268343.0,2017,3
2017-02-28,2017-02-28,226947.0,2017,2
